timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738753726966,141,Reqres,200,OK,192.168.101.116-Master Slave 1-1,text,true,,2200,128,1,1,https://reqres.in/api/users?page=2,141,0,114
1738753727968,46,Reqres,200,OK,192.168.101.116-Master Slave 1-2,text,true,,2199,128,1,1,https://reqres.in/api/users?page=2,46,0,30
1738753728966,49,Reqres,200,OK,192.168.101.116-Master Slave 1-3,text,true,,2199,128,1,1,https://reqres.in/api/users?page=2,49,0,20
1738753729969,39,Reqres,200,OK,192.168.101.116-Master Slave 1-4,text,true,,2199,128,1,1,https://reqres.in/api/users?page=2,39,0,21
1738753730967,47,Reqres,200,OK,192.168.101.116-Master Slave 1-5,text,true,,2199,128,1,1,https://reqres.in/api/users?page=2,46,0,26
